Rk,Player,Age
634,David Pastrnak\pastrda01,21
635,Greg Pateryn\patergr01,27
636,Nolan Patrick\patrino01,19
637,Nick Paul\paulni01,22
638,Joe Pavelski\paveljo01,33
639,Tanner Pearson\pearsta01,25
640,Matthew Peca\pecama01,24
641,Adam Pelech\pelecad01,23
642,Anthony Peluso\pelusan01,28
643,Brendan Perlini\perlibr01,21
644,Mathieu Perreault\perrema01,30
645,David Perron\perroda01,29
646,Corey Perry\perryco01,32
647,Brett Pesce\pescebr01,23
648,Nic Petan\petanni01,22
649,Alexander Petrovic\petroal01,25
650,Jeff Petry\petryje01,30
